;target_day_n;target_day_engagement;target_day_prop;random_day_n;random_day_engagement;random_day_prop;comparison_metric;comparison_metric_weighted;hot_topic
hilarisch;1;16;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.6199095022624435;0
youtube;1;16;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.6199095022624435;0
stad;1;16;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.6199095022624435;0
linter;1;16;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.6199095022624435;0
wim de decker;2;4;0.0018099547511312218;0.0;0.0;0.001;1.8099547511312217;3.6199095022624435;0
sri lankanen;1;16;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.6199095022624435;0
youtuber acid;1;16;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.6199095022624435;0
joachim;1;16;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.6199095022624435;0
erik van looy;3;5;0.0027149321266968325;2.0;0.0;0.0017316017316017316;1.5678733031674208;3.5058712859894894;0
angela merkel;1;15;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.504962304260106;0
waregems covid-19-patiënt;1;15;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.504962304260106;0
sint;1;15;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.504962304260106;0
jakarta;1;15;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.504962304260106;0
anti-frans;1;15;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.504962304260106;0
dhaka;1;15;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.504962304260106;0
fysiek;1;15;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.504962304260106;0
bart de wever;2;174;0.0018099547511312218;1.0;63.0;0.0008658008658008658;2.090497737556561;3.4741938829460026;0
biden;1;44;0.0009049773755656109;1.0;4.0;0.0008658008658008658;1.0452488687782806;3.4666983102809836;0
latem leven;1;14;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.386115282148363;0
arbi;1;14;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.386115282148363;0
wo ii;1;14;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.386115282148363;0
coronacrisis;1;14;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.386115282148363;0
filosoof bernice bovenkerk;1;14;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.386115282148363;0
boete;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
the polls;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
make;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
ocad;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
kempens;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
pakistan;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
actualiseren;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
jeroen lasure;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
cambodja;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
kavaan;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
heusden-zolder;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
domein bovy;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
container proberen;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
uitroepen;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
haven van rotterdam;1;13;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.262942330736642;0
waarom;13;287;0.011764705882352941;6.0;146.0;0.005194805194805195;2.264705882352941;3.1752383305359304;0
alles;2;3;0.0018099547511312218;0.0;0.0;0.001;1.8099547511312217;3.1349335883599587;0
mega;2;3;0.0018099547511312218;0.0;0.0;0.001;1.8099547511312217;3.1349335883599587;0
america;1;12;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.1349335883599587;0
analyse;1;12;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.1349335883599587;0
wegwerpplastic;1;12;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.1349335883599587;0
euthanasie;1;12;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.1349335883599587;0
oostenrijks kanselier kurz;1;12;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.1349335883599587;0
america first ’ zijn;1;12;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.1349335883599587;0
diepenbeek;1;11;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.001470398511674;0
giovanni kemper;1;11;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.001470398511674;0
stan van samang;1;11;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;3.001470398511674;0
joe biden;11;61;0.009954751131221719;4.0;60.0;0.003463203463203463;2.8744343891402715;2.898289025459114;0
think;1;10;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.861789737708941;0
afghaans;1;10;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.861789737708941;0
pink;1;10;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.861789737708941;0
europees commissie;1;10;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.861789737708941;0
leuvens;1;10;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.861789737708941;0
sergino;1;10;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.861789737708941;0
vlaams regering;1;51;0.0009049773755656109;1.0;7.0;0.0008658008658008658;1.0452488687782806;2.8213422611484575;0
wit-rusland;1;7;0.0009049773755656109;1.0;1.0;0.0008658008658008658;1.0452488687782806;2.7654685649589164;0
coronavirus;10;83;0.00904977375565611;6.0;33.0;0.005194805194805195;1.7420814479638012;2.762806900660835;0
latina;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
pietermaat;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
menstruatie;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
sri lanka;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
corona stijgen;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
bpost;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
wit huis-race;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
blokker;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
biostatisticus geert molenberghs;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
state;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
stoer;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
anthony fauci;1;9;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.7149321266968327;0
europees unie;1;13;0.0009049773755656109;1.0;2.0;0.0008658008658008658;1.0452488687782806;2.664872189230618;0
gent;5;57;0.004524886877828055;3.0;25.0;0.0025974025974025974;1.7420814479638012;2.630485300976687;0
helsinki;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
fiks;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
vincent van peteghem;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
vrijwilligersplatform;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
zorgvoorlicht;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
uur;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
beule;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
comité voor veiligheid;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
sint petersburg;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
van buenos;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
portugees;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
radio 1 ;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
vertrek;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
cocaïne;2;2;0.0018099547511312218;0.0;0.0;0.001;1.8099547511312217;2.5596625563313937;0
kv mechelen;2;2;0.0018099547511312218;0.0;0.0;0.001;1.8099547511312217;2.5596625563313937;0
gevaarlijk;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
mondmaskers;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
borgerhout;1;8;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.5596625563313937;0
ella leyers;2;29;0.0018099547511312218;2.0;5.0;0.0017316017316017316;1.0452488687782806;2.5172926223538648;0
belgisch;10;78;0.00904977375565611;7.0;28.0;0.006060606060606061;1.493212669683258;2.4922405152106104;0
afrika;1;27;0.0009049773755656109;1.0;5.0;0.0008658008658008658;1.0452488687782806;2.4289388768522535;0
chimpansee;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
regeringstop;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
meerderheid van limburger;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
nederlands dierenpark amersfoort;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
afhaalpunt;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
waarom china;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
gerd müller;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
leuven;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
brits regering;1;7;0.0009049773755656109;0.0;0.0;0.001;0.9049773755656109;2.3943450778865074;0
